ring_j,inner_T,outer_T,Bstar,n_samples,coverage
0,0,64,16x16x16,67,0.955224
1,64,128,8x8x16,7177,0.970322
2,128,192,16x16x16,16398,0.962130
3,192,256,16x16x16,24058,0.970031
4,256,320,16x32x16,16557,0.962070
5,320,384,32x32x16,9871,0.958869
6,384,448,32x64x16,6184,0.960705
7,448,512,32x64x16,6324,0.981657
8,512,576,64x64x16,3654,0.969349
9,576,640,64x64x16,3636,0.984598
10,640,704,64x64x16,3552,0.992399
11,704,768,64x64x16,3356,0.997616
12,768,832,64x64x16,3293,0.999393
13,832,896,64x64x16,2845,1.000000
14,896,960,64x64x16,2670,0.999625
15,960,1024,64x64x16,2472,1.000000
16,1024,1088,64x64x16,2153,1.000000
17,1088,1152,64x64x16,1866,1.000000
18,1152,1216,64x64x16,1763,1.000000
19,1216,1280,64x64x16,1607,1.000000
20,1280,1344,64x64x16,1356,1.000000
21,1344,1408,64x64x16,1132,1.000000
