layer_id,layer_name,conv_type,kernel_zyx,padding_zyx,stride_zyx,output_shape_zyx,peak_pages,peak_dram_bytes,peak_dram_mib,ifm_c,ifm_extent,ifm_allocated,ifm_voxels,ifm_coordinate_count,ifm_coordinate_sha256,ifm_coordinate_unique,ifm_blocks,ifm_grid_tiles,ifm_sum_nb,ifm_pages,ifm_feature_words,ifm_page_stride,ifm_page_bytes,ifm_dram_bytes,ifm_dram_mib,ifm_useful_bytes,ifm_occupancy,ifm_semantic_channel_bytes,ifm_semantic_ratio,ofm_c,ofm_extent,ofm_allocated,ofm_voxels,ofm_coordinate_count,ofm_coordinate_sha256,ofm_coordinate_unique,ofm_blocks,ofm_grid_tiles,ofm_sum_nb,ofm_pages,ofm_feature_words,ofm_page_stride,ofm_page_bytes,ofm_dram_bytes,ofm_dram_mib,ofm_useful_bytes,ofm_occupancy,ofm_semantic_channel_bytes,ofm_semantic_ratio
0,conv_input.0,SubMConv3d,3x3x3,1x1x1,1x1x1,41x1600x1408,8763,11236864,10.7163,4,"x:[-1,+1] y:[-1,+1] z:[-1,+1]",1,15000,15000,b8c429c5bbf27db0e6416a7a26eff2971b631a2783a74da99c761c822ad02443,1,4330,157920,31912,4342,1,2,1024,4446208,4.2402,510592,0.114838,60000,0.013495,16,"x:[-2,0] y:[-2,0] z:[-2,0]",1,15000,15000,b8c429c5bbf27db0e6416a7a26eff2971b631a2783a74da99c761c822ad02443,1,4409,157920,32439,4421,2,3,1536,6790656,6.4761,778536,0.114648,240000,0.035343
1,conv1.0.0,SubMConv3d,3x3x3,0x0x0,1x1x1,41x1600x1408,8763,13459968,12.8364,16,"x:[-2,0] y:[-2,0] z:[-2,0]",1,15000,15000,b8c429c5bbf27db0e6416a7a26eff2971b631a2783a74da99c761c822ad02443,1,4409,157920,32439,4421,2,3,1536,6790656,6.4761,778536,0.114648,240000,0.035343,16,"x:[-1,+1] y:[-1,+1] z:[-1,+1]",1,15000,15000,b8c429c5bbf27db0e6416a7a26eff2971b631a2783a74da99c761c822ad02443,1,4330,157920,31912,4342,2,3,1536,6669312,6.3604,765888,0.114838,240000,0.035986
2,conv2.0.0,SparseConv3d,3x3x3,1x1x1,2x2x2,21x800x704,6722,12762112,12.1709,16,"x:[-1,+1] y:[-1,+1] z:[-1,+1]",1,15000,15000,b8c429c5bbf27db0e6416a7a26eff2971b631a2783a74da99c761c822ad02443,1,4330,157920,31912,4342,2,3,1536,6669312,6.3604,765888,0.114838,240000,0.035986,32,"x:[-2,0] y:[-2,0] z:[-2,0]",1,25762,25762,c5300322e32f3583ae9ee09f45856b82dd7f81d18fa118f4531ece67bdef6906,1,2116,22720,58144,2380,4,5,2560,6092800,5.8105,2325760,0.381723,824384,0.135305
3,conv2.1.0,SubMConv3d,3x3x3,0x0x0,1x1x1,21x800x704,4760,12185600,11.6211,32,"x:[-2,0] y:[-2,0] z:[-2,0]",1,25762,25762,c5300322e32f3583ae9ee09f45856b82dd7f81d18fa118f4531ece67bdef6906,1,2116,22720,58144,2380,4,5,2560,6092800,5.8105,2325760,0.381723,824384,0.135305,32,"x:[-2,0] y:[-2,0] z:[-2,0]",1,25762,25762,c5300322e32f3583ae9ee09f45856b82dd7f81d18fa118f4531ece67bdef6906,1,2116,22720,58144,2380,4,5,2560,6092800,5.8105,2325760,0.381723,824384,0.135305
4,conv2.2.0,SubMConv3d,3x3x3,0x0x0,1x1x1,21x800x704,4635,11865600,11.3159,32,"x:[-2,0] y:[-2,0] z:[-2,0]",1,25762,25762,c5300322e32f3583ae9ee09f45856b82dd7f81d18fa118f4531ece67bdef6906,1,2116,22720,58144,2380,4,5,2560,6092800,5.8105,2325760,0.381723,824384,0.135305,32,"x:[-1,+1] y:[-1,+1] z:[-1,+1]",1,25762,25762,c5300322e32f3583ae9ee09f45856b82dd7f81d18fa118f4531ece67bdef6906,1,2009,22720,53457,2255,4,5,2560,5772800,5.5054,2138280,0.370406,824384,0.142805
5,conv3.0.0,SparseConv3d,3x3x3,1x1x1,2x2x2,11x400x352,3103,9680384,9.2319,32,"x:[-1,+1] y:[-1,+1] z:[-1,+1]",1,25762,25762,c5300322e32f3583ae9ee09f45856b82dd7f81d18fa118f4531ece67bdef6906,1,2009,22720,53457,2255,4,5,2560,5772800,5.5054,2138280,0.370406,824384,0.142805,64,"x:[-2,0] y:[-2,0] z:[-2,0]",1,19089,19089,bf06d0a5ab2bd676eb6867fd636ef4890a8963bf3ed5f3114cdfe4efd3f11844,1,571,2880,32061,848,8,9,4608,3907584,3.7266,2308392,0.590747,1221696,0.312647
6,conv3.1.0,SubMConv3d,3x3x3,0x0x0,1x1x1,11x400x352,1696,7815168,7.4531,64,"x:[-2,0] y:[-2,0] z:[-2,0]",1,19089,19089,bf06d0a5ab2bd676eb6867fd636ef4890a8963bf3ed5f3114cdfe4efd3f11844,1,571,2880,32061,848,8,9,4608,3907584,3.7266,2308392,0.590747,1221696,0.312647,64,"x:[-2,0] y:[-2,0] z:[-2,0]",1,19089,19089,bf06d0a5ab2bd676eb6867fd636ef4890a8963bf3ed5f3114cdfe4efd3f11844,1,571,2880,32061,848,8,9,4608,3907584,3.7266,2308392,0.590747,1221696,0.312647
7,conv3.2.0,SubMConv3d,3x3x3,0x0x0,1x1x1,11x400x352,1682,7750656,7.3916,64,"x:[-2,0] y:[-2,0] z:[-2,0]",1,19089,19089,bf06d0a5ab2bd676eb6867fd636ef4890a8963bf3ed5f3114cdfe4efd3f11844,1,571,2880,32061,848,8,9,4608,3907584,3.7266,2308392,0.590747,1221696,0.312647,64,"x:[-1,+1] y:[-1,+1] z:[-2,0]",1,19089,19089,bf06d0a5ab2bd676eb6867fd636ef4890a8963bf3ed5f3114cdfe4efd3f11844,1,553,2880,31575,834,8,9,4608,3843072,3.6650,2273400,0.591558,1221696,0.317896
8,conv4.0.0,SparseConv3d,3x3x3,0x1x1,2x2x2,5x200x176,1118,5151744,4.9131,64,"x:[-1,+1] y:[-1,+1] z:[-2,0]",1,19089,19089,bf06d0a5ab2bd676eb6867fd636ef4890a8963bf3ed5f3114cdfe4efd3f11844,1,553,2880,31575,834,8,9,4608,3843072,3.6650,2273400,0.591558,1221696,0.317896,64,"x:[-2,0] y:[-2,0] z:[-2,0]",1,8495,8495,03d33423f35ef008dd4bcc3cb1df68687aa4e0b2849369313da138faa54261d0,1,159,360,12281,284,8,9,4608,1308672,1.2480,884232,0.675671,543680,0.415444
9,conv4.1.0,SubMConv3d,3x3x3,0x0x0,1x1x1,5x200x176,568,2617344,2.4961,64,"x:[-2,0] y:[-2,0] z:[-2,0]",1,8495,8495,03d33423f35ef008dd4bcc3cb1df68687aa4e0b2849369313da138faa54261d0,1,159,360,12281,284,8,9,4608,1308672,1.2480,884232,0.675671,543680,0.415444,64,"x:[-2,0] y:[-2,0] z:[-2,0]",1,8495,8495,03d33423f35ef008dd4bcc3cb1df68687aa4e0b2849369313da138faa54261d0,1,159,360,12281,284,8,9,4608,1308672,1.2480,884232,0.675671,543680,0.415444
