ring_j,inner_T,outer_T,Bstar,bx,by,bz,n_samples_at_Bstar,coverage_at_Bstar,low_sample,note
0,0,64,8x16x16,8,16,16,87,0.988506,0,
1,64,128,8x8x16,8,8,16,7177,0.970322,0,
2,128,192,8x16x16,8,16,16,30026,0.982215,0,
3,192,256,16x16x16,16,16,16,24058,0.970031,0,
4,256,320,16x16x16,16,16,16,28532,0.983282,0,
5,320,384,16x32x16,16,32,16,17454,0.986994,0,
6,384,448,32x32x16,32,32,16,9888,0.980583,0,
7,448,512,32x64x16,32,64,16,6324,0.981657,0,
8,512,576,32x64x16,32,64,16,6198,0.992094,0,
9,576,640,64x64x16,64,64,16,3636,0.984598,0,
10,640,704,64x64x16,64,64,16,3552,0.992399,0,
11,704,768,64x64x16,64,64,16,3356,0.997616,0,
12,768,832,64x64x16,64,64,16,3293,0.999393,0,
13,832,896,64x64x16,64,64,16,2845,1.000000,0,
14,896,960,64x64x16,64,64,16,2670,0.999625,0,
15,960,1024,64x64x16,64,64,16,2472,1.000000,0,
16,1024,1088,64x64x16,64,64,16,2153,1.000000,0,
17,1088,1152,64x64x16,64,64,16,1866,1.000000,0,
18,1152,1216,64x64x16,64,64,16,1763,1.000000,0,
19,1216,1280,64x64x16,64,64,16,1607,1.000000,0,
20,1280,1344,64x64x16,64,64,16,1356,1.000000,0,
21,1344,1408,64x64x16,64,64,16,1132,1.000000,0,
